"","HEXID","date","NDaysAbove10ms"
"859","FR34","jun_2000",6
"860","FR64","jun_2000",10
"861","FR69","jun_2000",11
"862","FR57","jun_2000",10
"863","FR74","jun_2000",8
"864","FR40","jun_2000",10
"865","FR41","jun_2000",7
"866","FR42","jun_2000",8
"867","FR28","jun_2000",9
"868","FR58","jun_2000",6
"869","FR21","jun_2000",11
"870","FR72","jun_2000",6
"871","FR30","jun_2000",3
"872","FR44","jun_2000",11
"873","FR16","jun_2000",2
"874","FR56","jun_2000",3
"875","FR46","jun_2000",2
"876","FR50","jun_2000",1
"877","FR51","jun_2000",1
"878","FR52","jun_2000",6
"879","FR59","jun_2000",6
"880","FR60","jun_2000",5
"881","FR20","jun_2000",6
"882","FR61","jun_2000",5
"883","FR62","jun_2000",3
"884","FR35","jun_2000",5
"885","FR65","jun_2000",3
"886","FR66","jun_2000",4
"887","FR29","jun_2000",1
"888","FR70","jun_2000",1
"889","FR2","jun_2000",5
"890","FR14","jun_2000",7
"891","FR1","jun_2000",2
"892","FR39","jun_2000",2
"893","FR45","jun_2000",3
"894","FR48","jun_2000",3
"895","FR24","jun_2000",2
"896","FR85","jun_2000",3
"897","FR73","jun_2000",3
"898","FR22","jun_2000",3
"899","FR88","jun_2000",3
"900","FR76","jun_2000",8
"901","FR10","jun_2000",8
"902","FR38","jun_2000",0
"903","FR90","jun_2000",2
"904","FR6","jun_2000",3
"905","FR87","jun_2000",2
"906","FR26","jun_2000",2
"907","FR8","jun_2000",2
"908","FR82","jun_2000",1
"909","FR9","jun_2000",1
"910","FR89","jun_2000",15
"911","FR23","jun_2000",0
"912","FR86","jun_2000",1
"913","FR11","jun_2000",2
"914","FR7","jun_2000",8
"915","FR12","jun_2000",8
"916","FR13","jun_2000",8
"917","FR91","jun_2000",12
"918","FR92","jun_2000",10
"919","CT1","jul_2000",24
"920","CT2","jul_2000",0
"921","CT3","jul_2000",7
"922","CT4","jul_2000",17
"923","CT5","jul_2000",12
"924","CT6","jul_2000",NA
"925","CT7","jul_2000",14
"926","CT8","jul_2000",0
"927","CT9","jul_2000",4
"928","CT10","jul_2000",14
"929","CT11","jul_2000",14
"930","CT12","jul_2000",11
"931","CT13","jul_2000",NA
"932","CT14","jul_2000",7
"933","CT15","jul_2000",2
"934","CT16","jul_2000",5
"935","CT17","jul_2000",6
