"","HEXID","date","NDaysAbove5ms"
"5014","CT12","feb_2002",3
"8950","CT12","feb_2003",11
"13870","CT12","feb_2004",12
"19774","CT12","feb_2005",6
"26662","CT12","feb_2006",6
"34534","CT12","feb_2007",9
"43390","CT12","feb_2008",10
"53230","CT12","feb_2009",9
"64054","CT12","feb_2010",6
"75862","CT12","feb_2011",8
"88654","CT12","feb_2012",13
"102430","CT12","feb_2013",8
"117190","CT12","feb_2014",11
"132934","CT12","feb_2015",6
"149662","CT12","feb_2016",10
"167374","CT12","feb_2017",12
"186070","CT12","feb_2018",10
"12","CT12","jan_2000",9
"1980","CT12","jan_2001",7
"4932","CT12","jan_2002",8
"8868","CT12","jan_2003",7
"13788","CT12","jan_2004",9
"19692","CT12","jan_2005",6
"26580","CT12","jan_2006",12
"34452","CT12","jan_2007",9
"43308","CT12","jan_2008",13
"53148","CT12","jan_2009",10
"63972","CT12","jan_2010",7
"75780","CT12","jan_2011",9
"88572","CT12","jan_2012",11
"102348","CT12","jan_2013",7
"117108","CT12","jan_2014",8
"132852","CT12","jan_2015",2
"149580","CT12","jan_2016",7
"167292","CT12","jan_2017",11
"185988","CT12","jan_2018",8
"504","CT12","jul_2000",9
"2472","CT12","jul_2001",6
"5424","CT12","jul_2002",8
"9360","CT12","jul_2003",9
"14280","CT12","jul_2004",1
"20184","CT12","jul_2005",3
"27072","CT12","jul_2006",8
"34944","CT12","jul_2007",10
"43800","CT12","jul_2008",8
"53640","CT12","jul_2009",2
"64464","CT12","jul_2010",2
"76272","CT12","jul_2011",3
"89064","CT12","jul_2012",6
"102840","CT12","jul_2013",2
"117600","CT12","jul_2014",3
"133344","CT12","jul_2015",2
"150072","CT12","jul_2016",6
"167784","CT12","jul_2017",3
"186480","CT12","jul_2018",11
"422","CT12","jun_2000",8
"2390","CT12","jun_2001",12
"5342","CT12","jun_2002",13
"9278","CT12","jun_2003",12
"14198","CT12","jun_2004",21
"20102","CT12","jun_2005",11
"26990","CT12","jun_2006",15
"34862","CT12","jun_2007",16
"43718","CT12","jun_2008",11
"53558","CT12","jun_2009",5
