"hexid","month","observed","predicted","CI.lower","CI.upper"
"FR29",-20,0,0.033386036618795,-2.00534094338607,2.07211301662366
"FR32",-20,0,0.940789249078596,-3.74558707702613,5.62716557518332
"FR38",-20,0,0.509437971746813,-2.17543141950263,3.19430736299626
"FR41",-20,2,0.93221290209353,-4.82071296958993,6.685138773777
"FR44",-20,0,0.160101915431403,-3.28806265554714,3.60826648640995
"FR47",-20,0,0.163288764044414,-1.94970497464505,2.27628250273388
"FR5",-20,0,0.620090433456962,-1.147512582539,2.38769344945293
"FR76",-20,0,0.239316446075007,-2.40222759291119,2.8808604850612
"FR77",-20,0,-0.190045199658045,-2.02220222902313,1.64211182970704
"FR81",-20,0,-0.0503045692909359,-2.95744306167576,2.85683392309389
"FR89",-20,0,0.0789768468716496,-2.67019415929954,2.82814785304284
"FR91",-20,0,0.462017610060857,-1.61147557815795,2.53551079827966
"FR92",-20,2,0.661357049016196,-2.73526117879713,4.05797527682952
"ALL",-19,0.568816028905715,0.445008534979505,-0.101232778700845,0.991249848659854
"ALL Over 10",-19,1.03624222531377,0.798595792117688,0.061321189999175,1.5358703942362
"ALL Under 10",-19,0,0.0147243510322576,-0.798590424669024,0.828039126733539
"FR12",-19,2,2.3421199740017,0.499226116609357,4.18501383139404
"FR13",-19,1,0.514609603662083,-2.01750279307845,3.04672200040262
"FR18",-19,0,0.136856839131195,-6.00990419431104,6.28361787257343
"FR21",-19,0,0.475130179353805,-1.84658315328303,2.79684351199064
"FR23",-19,0,-0.363705889280686,-2.39739388500413,1.66998210644276
"FR25",-19,0,0.18859641909167,-6.39306276536561,6.77025560354895
"FR29",-19,1,0.0991450375396141,-1.04461563971102,1.24290571479025
"FR32",-19,2,0.472941537101183,-3.69675390576331,4.64263697996568
"FR38",-19,0,1.38706574863842,-2.42097692312265,5.19510842039949
"FR41",-19,0,0.0848140895626488,-6.11092141232382,6.28054959144911
"FR44",-19,0,0.655894478978992,-3.35532610600313,4.66711506396111
"FR47",-19,0,-0.431150650587854,-2.67912255487645,1.81682125370074
"FR5",-19,1,1.80125137122227,-0.870941017526973,4.47344375997151
"FR76",-19,0,-0.0270840330773225,-2.16571761911335,2.1115495529587
"FR77",-19,0,0.110002027369876,-1.71765627103176,1.93766032577151
"FR81",-19,0,0.427569534085446,-1.57346273806113,2.42860180623202
"FR89",-19,0,0.0674125330577967,-2.21102523315546,2.34585029927105
"FR91",-19,0,0.531308080974509,-2.64004404543883,3.70266020738784
"FR92",-19,3,2.22243191684476,-2.37384117318162,6.81870500687114
"ALL",-18,0.27356560522434,0.406266308379885,-0.112997843679631,0.925530460439401
"ALL Over 10",-18,0.592027999070463,0.815440522256142,0.0515542277065888,1.57932681680569
"ALL Under 10",-18,0,0.0547774242156285,-0.653217896326315,0.762772744757572
"FR12",-18,1,2.31764915802473,0.326853336829899,4.30844497921956
"FR13",-18,0,0.517769259355606,-1.80426735788516,2.83980587659637
"FR18",-18,0,0.248328192905383,-4.03699683132202,4.53365321713279
"FR21",-18,1,0.112324613636732,-1.91919200976157,2.14384123703504
"FR23",-18,0,-0.247810117138656,-1.65334441394758,1.15772417967027
"FR25",-18,0,-0.295162859306319,-7.38803192050262,6.79770620188998
"FR29",-18,0,0.155220936549592,-1.47889015579388,1.78933202889307
"FR32",-18,0,0.871891804718588,-2.62277965624409,4.36656326568127
"FR38",-18,0,0.83905673011773,-2.44109449651012,4.11920795674558
"FR41",-18,0,0.527543905153711,-3.35999079732261,4.41507860763003
"FR44",-18,0,0.388045821311628,-1.43209337084494,2.20818501346819
"FR47",-18,0,-0.186241506122036,-1.94444544364306,1.57196243139899
"FR5",-18,2,1.91160449073926,-1.22274078839378,5.0459497698723
"FR76",-18,0,0.176332551384489,-2.69044610609604,3.04311120886502
"FR77",-18,0,0.171962973434232,-1.97080880650185,2.31473475337031
"FR81",-18,0,0.368669936807334,-2.05528908934657,2.79262896296124
"FR89",-18,0,0.173648434726225,-1.71803904672874,2.06533591618119
"FR91",-18,1,0.42698116290463,-2.18184665888884,3.0358089846981
"FR92",-18,1,1.11946336037255,-1.30985357758344,3.54878029832854
"ALL",-17,0.28507131692887,0.283949084596089,-0.234488589323806,0.802386758515983
"ALL Over 10",-17,0.498063506978872,0.564082380902241,-0.121188303848111,1.24935306565259
"ALL Under 10",-17,0,-0.0909846990082456,-0.88377271197056,0.701803313954069
"FR12",-17,0,1.42798067690185,-1.45748089873601,4.31344225253971
"FR13",-17,1,0.660417773925678,-1.295543932341,2.61637948019236
"FR18",-17,0,-0.168019866245115,-4.33397293608917,3.99793320359894
"FR21",-17,0,0.328723641908093,-1.42901894954771,2.08646623336389
"FR23",-17,0,0.0466207741944977,-2.66610821357296,2.75934976196195
"FR25",-17,0,-0.126345196957297,-7.25946321350691,7.00677281959232
"FR29",-17,0,0.335021279797998,-1.0981669951543,1.7682095547503
"FR32",-17,0,0.75047799331265,-2.82120076232047,4.32215674894577
"FR38",-17,1,1.02729562612686,-1.06948681346286,3.12407806571658
"FR41",-17,0,0.132700833640035,-3.89352266532665,4.15892433260672
"FR44",-17,0,0.0793917622883619,-2.95184465575314,3.11062818032986
"FR47",-17,0,-0.400827189742083,-1.75062226792474,0.948967888440576
"FR5",-17,1,0.773010924753348,-1.2470744317507,2.79309628125739
"FR76",-17,0,-0.00516908711829511,-2.6475819921035,2.63724381786691
"FR77",-17,0,0.0592526758973886,-2.03344006827089,2.15194542006567
