"","HEXID","year","population"
"871","FR5",2005,31638.6853641474
"872","FR50",2005,35365.3215495523
"873","FR51",2005,85028.4133276846
"874","FR52",2005,101.093235083778
"875","FR53",2005,14422.8207156927
"876","FR54",2005,87785.8750205379
"877","FR55",2005,12292.8440891896
"878","FR56",2005,74933.3416992501
"879","FR57",2005,13212.9110871924
"880","FR58",2005,3010.13151922772
"881","FR59",2005,79.9242773115817
"882","FR6",2005,326.94118208287
"883","FR60",2005,17654.0353346643
"884","FR61",2005,273.230314901491
"885","FR62",2005,330.882280846079
"886","FR63",2005,794.890775364238
"887","FR64",2005,13235.9681331369
"888","FR65",2005,32872.7325291115
"889","FR66",2005,23.1218528599858
"890","FR67",2005,31374.8441570089
"891","FR68",2005,46708.2289173937
"892","FR69",2005,381.762783147261
"893","FR7",2005,108828.027629407
"894","FR70",2005,203.584309227102
"895","FR71",2005,2050.39344961575
"896","FR72",2005,30211.9812103021
"897","FR73",2005,811.032549157682
"898","FR74",2005,4019.21492307624
"899","FR75",2005,6329.76379552197
"900","FR76",2005,1865.15905873368
"901","FR77",2005,654.994112165846
"902","FR78",2005,32952.2162568198
"903","FR79",2005,7319.19038504649
"904","FR8",2005,379.218926550106
"905","FR80",2005,22962.0566533635
"906","FR81",2005,6160.92802978635
"907","FR82",2005,73488.1310307599
"908","FR83",2005,6676.81565317656
"909","FR84",2005,4789.07273299973
"910","FR85",2005,208.957293676685
"911","FR86",2005,9011.32860105835
"912","FR87",2005,80.8016814864538
"913","FR88",2005,2196.14562016734
"914","FR89",2005,2851.40740046794
"915","FR9",2005,53.3367489459304
"916","FR90",2005,2814.26813429174
"917","FR91",2005,50819.7900937641
"918","FR92",2005,12672.3275779053
"919","CT1",2006,81255.5729587722
"920","CT10",2006,31464.4323641199
"921","CT11",2006,33512.6511715549
"922","CT12",2006,3213.51638963412
"923","CT13",2006,126120.793799987
"924","CT14",2006,2100.37764054721
"925","CT15",2006,781.52986147148
"926","CT16",2006,133174.332624306
"927","CT17",2006,405194.356339126
"928","CT18",2006,1630.35070630279
"929","CT19",2006,2659.22204756728
"930","CT2",2006,550.043705755249
"931","CT20",2006,260.558713295117
"932","CT21",2006,10557.1685572824
"933","CT22",2006,47179.3809969511
"934","CT23",2006,376.373356886531
"935","CT24",2006,14004.8836963152
"936","CT25",2006,70706.107591362
"937","CT26",2006,11660.7077340343
"938","CT27",2006,2648.43501742039
"939","CT28",2006,32190.2951330688
"940","CT29",2006,1405.60768580497
"941","CT3",2006,5703.13137124423
"942","CT30",2006,32448.9711191197
"943","CT31",2006,8859.37446241121
"944","CT32",2006,111284.86745981
"945","CT33",2006,80382.5028517346
"946","CT34",2006,35.5504509608809
"947","CT35",2006,62.8985106751132
"948","CT36",2006,946.82054730835
"949","CT37",2006,21822.6405439854
"950","CT38",2006,194278.758956293
"951","CT39",2006,157084.445634049
"952","CT4",2006,152852.237296467
"953","CT40",2006,337.076605801277
"954","CT41",2006,878.086690056244
"955","CT42",2006,826.121969991393
"956","CT43",2006,33127.9655023392
"957","CT44",2006,672670.632731454
"958","CT45",2006,103944.343078759
"959","CT46",2006,1182.71581214452
"960","CT47",2006,674.311441510832
"961","CT48",2006,17674.5767080382
"962","CT49",2006,23407.1969703261
"963","CT5",2006,221239.698336233
"964","CT50",2006,745.266277729801
"965","CT51",2006,109.784867202438
"966","CT52",2006,25601.2094624558
"967","CT53",2006,492.786394917971
"968","CT54",2006,1929.07370847233
"969","CT55",2006,207436.562390106
"970","CT56",2006,448232.328718
"971","CT57",2006,8779.78030082282
"972","CT58",2006,379155.358564504
"973","CT59",2006,438657.676409132
"974","CT6",2006,207085.749636183
"975","CT60",2006,22776.9240755652
"976","CT61",2006,89500.4553243035
"977","CT7",2006,343.423557738727
"978","CT8",2006,18830.8832947022
