"","omitted","month","ATT","CI.lower","CI.upper"
"396","FR7",-16,0.0285174179916662,-0.46290915031317,0.519943986296503
"397","FR13",-16,0.0479018766852693,-0.443494227663329,0.539297981033868
"398","FR91",-16,0.162607607159859,-0.338851321296738,0.664066535616457
"399","FR92",-16,0.0189827357303191,-0.457033872771394,0.494999344232032
"400","FR81",-15,0.0412162471867272,-0.410893889053562,0.493326383427017
"401","FR5",-15,0.000152758190437942,-0.468431642349111,0.468737158729987
"402","FR77",-15,0.012896641023448,-0.44777564949824,0.473568931545136
"403","FR32",-15,0.0232602259219691,-0.422095282225669,0.468615734069608
"404","FR25",-15,0.0330456316243238,-0.414124418624294,0.480215681872942
"405","FR47",-15,0.0294065381003252,-0.423145476716188,0.481958552916839
"406","FR18",-15,0.0222351457027655,-0.423654106061346,0.468124397466877
"407","FR40",-15,0.0445051227918491,-0.404671656930694,0.493681902514393
"408","FR41",-15,0.0210385044402371,-0.42576311046368,0.467840119344154
"409","FR21",-15,0.0305647503860474,-0.43017111508068,0.491300615852774
"410","FR29",-15,0.0405847495427342,-0.416092215280245,0.497261714365713
"411","FR76",-15,0.0396862939129134,-0.42078865808602,0.500161245911847
"412","FR38",-15,0.00624988645116707,-0.44415103050132,0.456650803403655
"413","FR89",-15,0.0230461950410912,-0.431607730546665,0.477700120628847
"414","FR23",-15,0.0283826205450513,-0.430825987434422,0.487591228524524
"415","FR7",-15,0.00914912000892992,-0.449054471945353,0.467352711963213
"416","FR13",-15,0.0633235202527433,-0.402475895149756,0.529122935655242
"417","FR91",-15,0.071664848973622,-0.418382332840055,0.561712030787299
"418","FR92",-15,0.0455128902598966,-0.404133666203489,0.495159446723283
"419","FR81",-14,-0.0743714090554154,-0.553490321774626,0.404747503663795
"420","FR5",-14,-0.0648062468551593,-0.571514593481275,0.441902099770957
"421","FR77",-14,-0.058548694806365,-0.546916329492122,0.429818939879392
"422","FR32",-14,-0.0625359306529807,-0.532792712116746,0.407720850810785
"423","FR25",-14,-0.0538393434408341,-0.524866527908952,0.417187841027284
"424","FR47",-14,-0.0582151495463467,-0.544916458342619,0.428486159249926
"425","FR18",-14,-0.056754162945162,-0.528135854518127,0.414627528627803
"426","FR40",-14,-0.0398048005220919,-0.521924183745082,0.442314582700899
"427","FR41",-14,-0.0467322911902006,-0.52251246983988,0.429047887459479
"428","FR21",-14,-0.0593178946151391,-0.543467195248061,0.424831406017783
"429","FR29",-14,-0.0421209140336758,-0.5352231799422,0.450981351874849
"430","FR76",-14,-0.0466997818959403,-0.523283524989728,0.429883961197847
"431","FR38",-14,-0.10465960560637,-0.581216370111571,0.371897158898831
"432","FR89",-14,-0.0564270754210584,-0.545412306191363,0.432558155349246
"433","FR23",-14,-0.0559022475818698,-0.533067970130947,0.421263474967207
"434","FR7",-14,-0.0347919025856963,-0.519721760312621,0.450137955141229
"435","FR13",-14,-0.0278349734942096,-0.506501517399782,0.450831570411363
"436","FR91",-14,-0.0126323705548369,-0.502714127609402,0.477449386499728
"437","FR92",-14,-0.0986775291301395,-0.576609738143055,0.379254679882776
"438","FR81",-13,-0.0377364432912587,-0.56549301095061,0.490020124368093
"439","FR5",-13,0.0413459788147189,-0.497858175316348,0.580550132945786
"440","FR77",-13,-0.0753970726105108,-0.60344498025185,0.452650835030828
"441","FR32",-13,-0.039133145602909,-0.556454261297349,0.478187970091531
"442","FR25",-13,-0.0616479306364624,-0.579488565837848,0.456192704564924
"443","FR47",-13,-0.0773447005284758,-0.606313368636206,0.451623967579255
"444","FR18",-13,-0.0644354974632687,-0.581078072912597,0.45220707798606
"445","FR40",-13,-0.133981131347912,-0.696628032040732,0.428665769344907
"446","FR41",-13,-0.0633800586068384,-0.579996981510747,0.45323686429707
"447","FR21",-13,-0.1192923896128,-0.660946770089324,0.422361990863725
"448","FR29",-13,-0.0186883106712949,-0.554858994288528,0.517482372945938
"449","FR76",-13,-0.0844153552115365,-0.607375382243097,0.438544671820024
"450","FR38",-13,-0.0265913856798758,-0.552446396921109,0.499263625561357
"451","FR89",-13,-0.111500459451595,-0.642995851970307,0.419994933067117
"452","FR23",-13,-0.0690020284003288,-0.597900338303523,0.459896281502865
"453","FR7",-13,-0.0876953545142005,-0.616558483085432,0.441167774057031
"454","FR13",-13,-0.021669220106015,-0.556872895012175,0.513534454800144
"455","FR91",-13,-0.0436719651761729,-0.569558466630604,0.482214536278258
"456","FR92",-13,-0.146218069397576,-0.674060299006318,0.381624160211166
"457","FR81",-12,0.187520390815712,-0.360297415555397,0.735338197186822
"458","FR5",-12,0.2211816613775,-0.323216585378502,0.765579908133503
"459","FR77",-12,0.212562068506918,-0.346627879715843,0.771752016729679
