"hexid","month","observed","predicted"
"FR29",-2,0,0.457413440388662
"FR29",-1,0,0.157505252750192
"FR29",0,0,-0.0968926372763602
"FR29",1,1,0.112741295724486
"FR29",2,0,0.547769099341633
"FR29",3,0,0.524252983377326
"FR29",4,0,0.572932115697671
"FR29",5,0,0.381947746176338
"FR29",6,0,-0.0392787001993964
"FR29",7,0,-0.104217522378218
"FR29",8,0,0.227321446644512
"FR29",9,0,0.382607529386741
"FR29",10,1,-0.00158097913523569
"FR29",11,0,-0.224838587578742
"FR29",12,0,0.363774522352978
"FR29",13,0,0.204740636162197
"FR29",14,0,0.534223198325654
"FR29",15,1,0.631245968462384
"FR29",16,0,-0.0773288026656881
"FR29",17,1,-0.0855825235091527
"FR29",18,0,0.560484081286224
"FR29",19,0,0.319107323023878
"FR29",20,0,0.352634313883848
"FR29",21,0,-0.504775375755344
"FR29",22,0,-0.78577554379028
"FR29",23,0,-0.753270084955094
"FR29",24,3,0.520646076361439
"FR29",25,0,-1.12492586776244
"FR29",26,1,0.0628055879412499
"FR29",27,1,0.283436767228542
"FR29",28,1,-0.0328909013419121
"FR29",29,1,-0.90506413633013
"FR29",30,0,-0.420965489394796
"FR29",31,0,0.394076320597098
"FR29",32,0,0.478837502145961
"FR29",33,1,0.249949018113163
"FR29",34,1,0.392948802989344
"FR29",35,2,0.569625542881833
"FR29",36,2,-0.633284074684599
"FR76",-36,0,-0.122471540430195
"FR76",-35,0,-0.273782261702303
"FR76",-34,0,-0.246324146869931
"FR76",-33,0,-0.0718497340766106
"FR76",-32,0,-0.213391579627737
"FR76",-31,0,-0.181645326558249
"FR76",-30,0,0.0380819997183154
"FR76",-29,0,-0.13290313259353
"FR76",-28,0,-0.140343364030131
"FR76",-27,0,0.0477758060143545
"FR76",-26,0,0.00774937634370754
"FR76",-25,0,-0.107735288112054
"FR76",-24,0,-0.212006190673881
"FR76",-23,0,0.107393579000346
"FR76",-22,0,0.00190718654032129
"FR76",-21,0,0.164804661293299
"FR76",-20,0,0.239316446075007
"FR76",-19,0,-0.0270840330773225
"FR76",-18,0,0.176332551384489
"FR76",-17,0,-0.00516908711829511
"FR76",-16,0,0.0776074679435864
"FR76",-15,0,0.334930197072235
